effects1,effects2
0.7497802961,0.7091414232
0.8825469075,0.6614150153
0.5033335393,1.0947757924
0.625851844,0.5075146738
0.6047735234,0.9974912527
0.5043325371,0.811450495
0.9030650867,0.3390134008
0.8468881229,0.3790727088
0.3430270581,0.3263500842
0.7908819714,0.6364681626
0.3459108819,0.3521999741
0.7630662577,0.5848627004
1.0622238469,1.0980563729
1.2177274423,0.9079089376
0.5442595347,0.4849553944
0.4181050755,0.5960142276
0.9206152147,0.5438588651
0.7080509534,0.8299479374
0.8256615063,0.6174516268
0.1567685689,0.4088230359
0.6595014956,0.4538561846
0.5131857423,0.5097838523
1.0361733384,0.9347186826
0.999225327,0.6401703178
0.6801004392,0.5149573127
0.2975236756,0.2636968107
0.6168910335,1.0842290396
0.6258350575,1.1375223862
0.6903146273,1.0417207854
0.5670733633,0.5042968831
0.5999457259,0.9896290591
1.2285147423,1.2372575845
1.0892163084,0.5569681397
0.8285698527,1.0352674475
0.6567849617,0.4148895794
0.9656016665,0.8078834449
0.3420407866,0.243156592
0.8504423236,0.7139285011
1.2695443858,1.4605584995
0.1869619778,0.7198350258
0.6719635105,0.5684147725
0.9247518539,0.838889576
0.2363905631,0.3501662265
0.6989210379,0.2934177815
0.4524498061,0.7494163183
0.6058155233,0.4402447784
0.1512451065,0.4112465127
0.6722072359,0.4889747077
1.0952578327,0.8346566985
0.8359471869,0.6610924355
0.1743987032,0.686767396
0.5145696811,0.3783965712
0.1863501161,0.5977844451
0.4784594109,0.1785275959
1.4732227268,0.6687030242
1.0540845271,1.2839494278
0.7415784286,1.0785858621
0.381197388,1.0908239404
0.8977050556,0.5609908925
0.1105269031,0.1688986617
0.5885125332,0.4351880027
0.6149523558,0.5282714379
0.2451954989,0.4105504226
0.3333763079,0.1201170437
0.7803464921,0.5196832174
0.4800107522,0.5809909122
1.287052229,1.1241780554
0.7320138668,1.0826105718
0.2265762815,0.6071180886
0.6871319723,0.717372532
0.8682919812,0.725586894
0.7181502548,1.5313079146
0.3343488869,0.3423259077
1.1808913641,0.852197055
0.1309511465,0.3438549753
0.6574537949,0.5662315059
1.7820191531,0.8239076932
0.7238005674,0.370480103
0.3356627532,0.1238472813
0.8542288987,0.8614731334
0.5352926916,0.1730074891
0.7083608404,0.7824110123
0.5324529582,0.1991551764
0.3541056398,0.3637350727
0.5070976219,1.0072123269
0.5903396842,0.7745794027
0.6473721422,1.7178091397
0.6270022511,0.5827437777
0.5077348131,1.2049206356
0.8033967884,0.4296158672
1.1681795632,1.5334860282
